Location,2019 spills,2019 hours,2020 spills,2020 hours,2021 spills,2021 hours,2022 spills,2022 hours,2023 spills,2023 hours,2024 spills,2024 hours
Evesham-Burford road,10,2,8,1,10,4,7,2,2,0.1,4,0.3
Evesham-Lower Leys,6,12,4,13,22,56,11,3,10,5,6,1.12
Evesham-Battleton Park,28,48,30,139,20,125,20,18,20,35,39,206
Evesham-Waterside,7,15,7,11,2,1,10,16,8,12,2,4
Evesham-Abbey road,30,159,22,138,32,154,31,44,18,45,35,153
Evesham-Hampton syphon,30,121,17,160,28,131,7,17,-,-,30,172
Evesham-Pershore road,39,376,31,129,30,71,29,36,39,58,45,71
Evesham-Avon St.,66,131,61,107,62,101,60,78,10,16,58,152
Evesham-Hampton Park,71,445,56,404,44,302,37,123,36,192,54,607
Lower moor,117,1795,136,2299,103,1536,103,995,198,3063,225,4428
Pershore-Wyre road,60,959,119,2447,32,462,30,266,54,700,86,553
Pershore-Defford road,1,6,7,20,16,12,26,26,44,103,52,134
